index,year,variable,annual_mean,long_term_mean,anomaly
3,2022,SLZ,5.920980354907271,0.9694646718585213,4.95151568304875
3,2022,q_sim,0.05654794520547942,0.007475063563466002,0.04907288164201342
3,2022,WB,0.022959480774435596,0.0020602750282264826,0.020899205746209112
4,1981,Prain,0.2240080744733287,0.22842167810797823,-0.0044136036346495156
4,1981,Psnow,0,0,0
4,1981,SWE,0,0,0
4,1981,Msnow,0,0,0
4,1981,Total,0.2240080744733287,0.22842167810797823,-0.0044136036346495156
4,1981,Rech,0.006263216960194235,0.011644484818362779,-0.0053812678581685435
4,1981,Eac,0.49222450536604906,0.2232944883805993,0.26893001698544977
4,1981,SM,4.365227457815606,1.3823663029014892,2.982861154914117
4,1981,Qg,0.0047912272510168856,0.011175554349927631,-0.0063843270989107455
4,1981,Q0,0,0,0
4,1981,Q1,0,0.001809865064587479,-0.001809865064587479
4,1981,Q2,0.0047912272510168856,0.009365689285340177,-0.004574462034323291
4,1981,STZ,0.006263216960194235,0.011644484818362779,-0.0053812678581685435
4,1981,SUZ,0.006263216960194236,0.022763086184295175,-0.01649986922410094
4,1981,SLZ,0.6492783064428331,1.2691818941722803,-0.6199035877294472
4,1981,q_sim,0.003461538461538452,0.010409413912250287,-0.006947875450711835
4,1981,WB,-0.26821643089272007,0.005127189727377424,-0.2733436206200975
4,1982,Prain,0.20257517611556566,0.22842167810797823,-0.025846501992412563
4,1982,Psnow,0,0,0
4,1982,SWE,0,0,0
4,1982,Msnow,0,0,0
4,1982,Total,0.20257517611556566,0.22842167810797823,-0.025846501992412563
4,1982,Rech,0.005565453587569675,0.011644484818362779,-0.006079031230793104
4,1982,Eac,0.19677478495301884,0.2232944883805993,-0.02651970342758045
4,1982,SM,1.244616181032899,1.3823663029014892,-0.13775012186859015
4,1982,Qg,0.00530561559310874,0.011175554349927631,-0.005869938756818891
4,1982,Q0,0,0,0
4,1982,Q1,1.4616209711173022e-5,0.001809865064587479,-0.001795248854876306
4,1982,Q2,0.0052909993833975665,0.009365689285340177,-0.00407468990194261
4,1982,STZ,0.005565453587569675,0.011644484818362779,-0.006079031230793104
4,1982,SUZ,0.005649382585760309,0.022763086184295175,-0.017113703598534865
4,1982,SLZ,0.7170044205925183,1.2691818941722803,-0.552177473579762
4,1982,q_sim,0.004712328767123287,0.010409413912250287,-0.005697085145127
4,1982,WB,0.005800391162546886,0.005127189727377424,6.732014351694621e-4
4,1983,Prain,0.5624323057259595,0.22842167810797823,0.3340106276179813
4,1983,Psnow,0,0,0
4,1983,SWE,0,0,0
4,1983,Msnow,0,0,0
4,1983,Total,0.5624323057259595,0.22842167810797823,0.3340106276179813
4,1983,Rech,0.046260598364950875,0.011644484818362779,0.0346161135465881
4,1983,Eac,0.5164349118883061,0.2232944883805993,0.29314042350770686
4,1983,SM,3.178249335095836,1.3823663029014892,1.7958830321943469
4,1983,Qg,0.03478471397656829,0.011175554349927631,0.02360915962664066
4,1983,Q0,0,0,0
4,1983,Q1,0.010179277255824544,0.001809865064587479,0.008369412191237066
4,1983,Q2,0.02460543672074373,0.009365689285340177,0.015239747435403553
4,1983,STZ,0.046260598364950875,0.011644484818362779,0.0346161135465881
4,1983,SUZ,0.1128239115261478,0.022763086184295175,0.09006082534185263
4,1983,SLZ,3.334380826945768,1.2691818941722803,2.065198932773488
4,1983,q_sim,0.03342465753424654,0.010409413912250287,0.02301524362199625
4,1983,WB,0.04599739383765288,0.005127189727377424,0.040870204110275456
4,1984,Prain,0.1697725785045061,0.22842167810797823,-0.058649099603472116
4,1984,Psnow,0,0,0
4,1984,SWE,0,0,0
4,1984,Msnow,0,0,0
4,1984,Total,0.1697725785045061,0.22842167810797823,-0.058649099603472116
4,1984,Rech,0.0053969092748620655,0.011644484818362779,-0.006247575543500713
4,1984,Eac,0.16420737903050228,0.2232944883805993,-0.059087109350097006
4,1984,SM,0.9504507875502733,1.3823663029014892,-0.43191551535121586
4,1984,Qg,0.015910794312281356,0.011175554349927631,0.004735239962353725
4,1984,Q0,0,0,0
4,1984,Q1,1.3989032507110658e-4,0.001809865064587479,-0.0016699747395163725
4,1984,Q2,0.01577090398721025,0.009365689285340177,0.0064052147018700736
4,1984,STZ,0.0053969092748620655,0.011644484818362779,-0.006247575543500713
4,1984,SUZ,0.006004989295545539,0.022763086184295175,-0.016758096888749636
4,1984,SLZ,2.1371780747229496,1.2691818941722803,0.8679961805506693
4,1984,q_sim,0.0159016393442623,0.010409413912250287,0.005492225432012015
4,1984,WB,0.005565199474003934,0.005127189727377424,4.3800974662651024e-4
4,1985,Prain,0.35694594041024574,0.22842167810797823,0.12852426230226752
4,1985,Psnow,0,0,0
4,1985,SWE,0,0,0
4,1985,Msnow,0,0,0
4,1985,Total,0.35694594041024574,0.22842167810797823,0.12852426230226752
4,1985,Rech,0.027395088748428314,0.011644484818362779,0.015750603930065533
4,1985,Eac,0.32860062392385947,0.2232944883805993,0.10530613554326018
4,1985,SM,1.9692487934982252,1.3823663029014892,0.586882490596736
4,1985,Qg,0.023215047834783512,0.011175554349927631,0.012039493484855881
4,1985,Q0,0,0,0
4,1985,Q1,0.00598508072986473,0.001809865064587479,0.004175215665277251
4,1985,Q2,0.0172299671049188,0.009365689285340177,0.007864277819578625
4,1985,STZ,0.027395088748428314,0.011644484818362779,0.015750603930065533
4,1985,SUZ,0.06267944441582464,0.022763086184295175,0.03991635823152946
4,1985,SLZ,2.3349015347942585,1.2691818941722803,1.0657196406219782
4,1985,q_sim,0.022356164383561614,0.010409413912250287,0.011946750471311328
4,1985,WB,0.02834531648638634,0.005127189727377424,0.023218126759008917
4,1986,Prain,0.19974441703765303,0.22842167810797823,-0.0286772610703252
4,1986,Psnow,0,0,0
4,1986,SWE,0,0,0
4,1986,Msnow,0,0,0
4,1986,Total,0.19974441703765303,0.22842167810797823,-0.0286772610703252
4,1986,Rech,0.00572359255461999,0.011644484818362779,-0.0059208922637427885
4,1986,Eac,0.1953349398269528,0.2232944883805993,-0.02795954855364649
4,1986,SM,1.1411964833245445,1.3823663029014892,-0.24116981957694472
4,1986,Qg,0.01017682689708465,0.011175554349927631,-9.987274528429815e-4
4,1986,Q0,0,0,0
4,1986,Q1,1.0606994932719361e-4,0.001809865064587479,-0.0017037951152602854
4,1986,Q2,0.010070756947757458,0.009365689285340177,7.050676624172809e-4
4,1986,STZ,0.00572359255461999,0.011644484818362779,-0.0059208922637427885
4,1986,SUZ,0.0061652504761382405,0.022763086184295175,-0.016597835708156934
4,1986,SLZ,1.3647284240691329,1.2691818941722803,0.09554652989685253
4,1986,q_sim,0.01065753424657534,0.010409413912250287,2.48120334325053e-4
4,1986,WB,0.004409477210700298,0.005127189727377424,-7.177125166771261e-4
4,1987,Prain,0.0427442797516427,0.22842167810797823,-0.1856773983563355
4,1987,Psnow,0,0,0
4,1987,SWE,0,0,0
4,1987,Msnow,0,0,0
4,1987,Total,0.0427442797516427,0.22842167810797823,-0.1856773983563355
4,1987,Rech,1.571545119951438e-4,0.011644484818362779,-0.011487330306367635
4,1987,Eac,0.042608150437693455,0.2232944883805993,-0.18068633794290584
4,1987,SM,0.2043306419541422,1.3823663029014892,-1.178035660947347
4,1987,Qg,0.0023289341020919212,0.011175554349927631,-0.00884662024783571
4,1987,Q0,0,0,0
4,1987,Q1,0,0.001809865064587479,-0.001809865064587479
4,1987,Q2,0.0023289341020919212,0.009365689285340177,-0.0070367551832482556
4,1987,STZ,1.571545119951438e-4,0.011644484818362779,-0.011487330306367635
4,1987,SUZ,1.571545119951438e-4,0.022763086184295175,-0.02260593167230003
4,1987,SLZ,0.3156031451654211,1.2691818941722803,-0.9535787490068592
4,1987,q_sim,9.315068493150661e-4,0.010409413912250287,-0.00947790706293522
4,1987,WB,1.3612931394923095e-4,0.005127189727377424,-0.004991060413428193
4,1988,Prain,0.4159540244724395,0.22842167810797823,0.18753234636446128
4,1988,Psnow,0,0,0
