catchment_id,LWin,SWin,Tair_C,RH,wind_ms,TP_mmhr,Sf_mmhr,Rf_mmhr,Tsurf,LWout,LWnet,SWnet,Rnet_Wm2,Rnet_MJm2hr,PET_mm_hr_penman,delta,PET_mm_hr_priestly,Prain,Psnow,SWE,Msnow,Total,Rech,Eac,SM,Qg,Q0,Q1,Q2,STZ,SUZ,SLZ,q_sim,WB,TP_mm,annual_precip_mm,annual_water_budget_mm,year
71,332.357,298.604,24.775,40.125,3.233,0.038,0.000,0.038,16.359,366.852,-34.495,241.869,207.374,0.747,0.333,0.188,0.283,0.068,0.000,0.000,0.000,0.068,0.004,0.063,0.143,0.020,0.000,0.002,0.018,0.005,0.010,1.757,0.020,0.005,0.918,334.998,304.838,2001.500
72,323.456,304.500,24.219,36.220,3.336,0.032,0.000,0.032,15.228,361.091,-37.634,246.645,209.011,0.752,0.342,0.183,0.284,0.291,0.000,0.000,0.000,0.291,0.027,0.260,0.628,0.039,0.012,0.009,0.018,0.022,0.040,1.757,0.039,0.031,0.761,277.858,168.844,2001.500
73,314.349,316.432,23.612,30.903,3.421,0.018,0.000,0.018,14.130,355.498,-41.149,256.310,215.161,0.775,0.357,0.176,0.289,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,0.426,155.664,74.798,2001.500
74,311.105,314.754,23.648,29.081,3.570,0.019,0.000,0.019,13.599,352.884,-41.779,254.951,213.171,0.767,0.365,0.177,0.287,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,0.462,168.647,87.782,2001.500
75,,,,,,,,,,,,,,,,,,0.213,0.000,0.000,0.000,0.213,0.021,0.189,0.468,0.032,0.009,0.007,0.016,0.016,0.030,1.610,0.032,0.024,,,,2001.500
76,392.145,253.341,25.342,75.128,7.136,0.062,0.000,0.062,12.849,398.209,-6.064,205.206,199.142,0.717,0.249,0.194,0.275,0.928,0.000,0.000,0.000,0.928,0.157,0.749,2.220,0.141,0.086,0.050,0.006,0.141,0.217,0.559,0.140,0.179,1.491,544.120,219.441,2001.500
77,397.475,257.418,26.684,71.339,5.858,0.058,0.000,0.058,20.152,402.025,-4.550,208.508,203.958,0.734,0.267,0.208,0.286,0.928,0.000,0.000,0.000,0.928,0.157,0.749,2.220,0.141,0.086,0.050,0.006,0.141,0.217,0.559,0.140,0.179,1.402,511.876,187.196,2001.500
78,399.335,258.881,27.227,69.630,5.458,0.056,0.000,0.056,19.587,403.876,-4.541,209.693,205.152,0.739,0.275,0.214,0.290,0.406,0.000,0.000,0.000,0.406,0.066,0.339,0.987,0.062,0.043,0.015,0.004,0.059,0.068,0.390,0.061,0.067,1.349,492.368,346.276,2001.500
79,398.590,261.065,27.607,67.367,5.013,0.057,0.000,0.057,22.309,403.966,-5.377,211.462,206.086,0.742,0.282,0.218,0.292,1.038,0.000,0.000,0.000,1.038,0.179,0.833,2.732,0.159,0.087,0.065,0.007,0.171,0.276,0.660,0.157,0.206,1.373,501.229,139.868,2001.500
80,401.986,263.371,28.615,63.970,4.246,0.056,0.000,0.056,23.192,407.021,-5.035,213.331,208.296,0.750,0.296,0.229,0.299,0.657,0.000,0.000,0.000,0.657,0.112,0.528,1.712,0.101,0.057,0.038,0.006,0.093,0.163,0.567,0.100,0.129,1.344,490.455,261.466,2001.500
81,399.447,265.567,28.700,62.555,3.871,0.056,0.000,0.056,23.645,406.156,-6.708,215.110,208.401,0.750,0.297,0.230,0.299,1.038,0.000,0.000,0.000,1.038,0.179,0.833,2.732,0.159,0.087,0.065,0.007,0.171,0.276,0.660,0.157,0.206,1.335,487.124,125.763,2001.500
